RelErr_X1,RelErr_X2,RelErr_X1X2,deconfounding_corrcoef,CC_dispersion,ss,db,ari_trueCluster,nmi_trueCluster,ari_confoundedCluster,nmi_confoundedCluster,run
0.20529504,0.22333395,0.21620259,[-578.6377990116939],0.78906204723788,0.089324996,2.275948454167523,0.2660899473207792,0.3687711282249892,[0.02586996316900426],[0.08384879324638948],run_41684
0.2043451,0.22277732,0.21549046,[-528.0630081868688],0.8308006357741831,0.09578817,2.3412490625022366,0.4348975650933023,0.5603087698602626,[0.0023038151599680933],[0.006472067211839894],run_14653
0.20214583,0.22406945,0.21540232,[-542.4657239183459],0.661043623783356,0.090583116,2.4901824880736867,0.2586036461729968,0.3267875286616555,[0.155029216316578],[0.2467957251936572],run_57000
0.20017529,0.22334434,0.21418485,[-527.3980360774192],0.7575938368564967,0.08373021,2.387828970664014,0.4664881103510936,0.593562000937949,[0.003060318011516925],[0.006923728579117839],run_23597
0.20794106,0.22314882,0.21713668,[-577.2429696796611],0.7895029389680523,0.08327596,2.2879340236981074,0.3123287939224486,0.4663278498257068,[0.0013232025080900176],[0.0053574519520564415],run_83015
0.2128578,0.22458814,0.21995077,[-616.1328342343324],0.6202261601252561,0.09613039,2.402094204544744,0.0375552667003581,0.069082314648331,[0.2531160071809908],[0.43465482628107455],run_25849
0.21368271,0.22598946,0.22112422,[-504.5843803844648],0.7820746251893537,0.08081548,2.3626116301942437,0.2672792095908877,0.3725905903635133,[0.05856063666551497],[0.1215166304976215],run_41584
0.20547546,0.22388506,0.21660715,[-533.861543974707],0.7660447265996819,0.08518845,2.337417393878962,0.2453354322587369,0.3205114174660378,[0.039692855697959405],[0.09851212353894809],run_38606
0.21242714,0.22716007,0.22133566,[-444.73179338569776],0.7264724830662933,0.07759722,2.465423914305763,0.3731931480120613,0.4927855050681418,[0.004138173079243755],[0.010187269165732659],run_46323
0.20118836,0.22166859,0.21357207,[-470.2566641399308],0.7852373165717331,0.08813525,2.3207383655505747,0.4282292045883425,0.573243524816025,[0.0002026248677893685],[0.003086379389352733],run_33517
0.19984904,0.22439796,0.21469298,[-579.7647065037064],0.8079220472162996,0.07865472,2.3816135512572343,0.2811538851504555,0.3626916048043116,[0.030254788397088932],[0.08579143338079025],run_88313
0.20417075,0.22338623,0.21578968,[-545.6381927106974],0.7684846191328184,0.08385526,2.427112301022795,0.4469750889437681,0.5791485510425621,[0.001571934730524236],[0.005717106517287685],run_55762
0.2031337,0.22231005,0.21472897,[-536.5893457178009],0.7999474310755211,0.06673387,2.35874073492846,0.308000565380945,0.4385003629896263,[0.0011507516781484777],[0.0038041811095009415],run_39284
0.22797257,0.22932795,0.22879212,[-464.0005821174537],0.6828129570050853,0.086489655,2.449619803371235,0.2467801595535492,0.2954507551509671,[0.1360883579281592],[0.25257698623393043],run_23311
0.21650662,0.22503887,0.2216658,[-479.7454132139911],0.6716794240481544,0.10117218,2.341347239412096,0.1161190173395677,0.149133255318762,[0.2134804828533865],[0.3978998970211156],run_47693
