RelErr_X1,RelErr_X2,RelErr_X1X2,deconfounding_corrcoef,CC_dispersion,ss,db,ari_trueCluster,nmi_trueCluster,ari_confoundedCluster,nmi_confoundedCluster,run
0.27871907,0.21369605,0.23274264,[54.850053901747586],0.9074602526911036,0.10856885,2.4626066847033106,0.6543537997447009,0.7305302105415195,0.0003007631073949,0.0031081556187561,run_36505
0.29231784,0.2141219,0.2370271,[44.36611717066212],0.8910700467951622,0.1086879,2.438872460184093,0.6969283831310055,0.7573318349860548,0.0066603738264261,0.0116373477980014,run_90947
0.2914222,0.21351516,0.23633574,[37.7131624474635],0.896178402268218,0.11206417,2.232084607876653,0.4662708622080052,0.5768440174595436,0.134633608281102,0.1751539618648341,run_71562
0.28545636,0.21474296,0.23545638,[52.54452692952996],0.8889207435740077,0.12253297,2.451807728799708,0.7098989447994084,0.7671463340845218,0.0015765301448562,0.0046357484465295,run_46427
0.28833368,0.21374524,0.23559374,[45.51345406918563],0.830807408979731,0.081257775,2.46029968992402,0.6322698220550184,0.6856779486159104,0.1192229537060621,0.1690265900001643,run_83500
0.28399232,0.21407045,0.234552,[52.33860701927672],0.9283364121612238,0.10368347,2.392565951480747,0.6882124001731351,0.7586830642042152,0.0144200473130393,0.0223308110578919,run_23681
0.29317817,0.21449873,0.23754556,[53.66485309429233],0.9296325104987369,0.11336198,2.367146459247579,0.6645825335884017,0.7331905590716951,0.0009857807336836,0.003673419075953,run_70338
0.2733035,0.21426314,0.2315573,[49.02102939571102],0.8496300317748369,0.09389622,2.3758940094874346,0.6560885424062444,0.7062794067575486,0.0896006080052849,0.138501113803473,run_63302
0.2937241,0.21429455,0.23756115,[38.3961810137843],0.8325718840259351,0.10784007,2.2909423463069625,0.5622777473704768,0.6527205072439458,0.0988430461716846,0.132195133807355,run_20053
0.29800695,0.21539564,0.23959418,[52.87425830151281],0.9344177617215644,0.108867235,2.4266268931089834,0.7113464124631423,0.7709996006679162,0.0013741207249355,0.0042665943675159,run_49344
0.2968418,0.21727479,0.24058159,[53.85053804638844],0.8997551239061351,0.108743764,2.409454016108201,0.5260863640701537,0.6558037065346769,0.0275379095666791,0.0361006702685842,run_91501
0.30218178,0.213468,0.23945408,[48.94172212161289],0.907400740133392,0.102178745,2.342619474071083,0.7294827991597045,0.8143415212002941,0.0006276590871025,0.0029975702891968,run_17082
0.30501136,0.21540037,0.24164928,[50.32714329597051],0.885128943186508,0.11220676,2.389432478416952,0.7603596333105256,0.8009901849125136,0.0006846886838586,0.0032230564875237,run_36418
0.30211774,0.21734703,0.24217814,[51.43076193542617],0.9175876476925586,0.116488874,2.353346557874745,0.8149872090673093,0.8087135341291755,0.0014678850492425,0.0040667161345794,run_59439
0.28707978,0.2150951,0.23618087,[49.87083510619371],0.8915690555984861,0.11595865,2.455070416262996,0.7269434190284352,0.7599465957875072,0.0062049982134148,0.0108061787102494,run_80545
0.2853533,0.21297245,0.23417431,[50.085384413677154],0.883513249781223,0.12202042,2.470571858379643,0.6525862875126681,0.7380132783575404,0.0003839319460269,0.0032789368923394,run_8983
0.2824282,0.21369627,0.23382927,[52.441339869449706],0.9184837066294604,0.11043147,2.432564337102478,0.6756833933078356,0.7548785132567744,0.0013837757412763,0.0048061677227116,run_44426
0.29085538,0.2136811,0.23628704,[55.95155515885924],0.9277410424113052,0.11798856,2.367318876846041,0.7136106859201566,0.7778170970726523,0.000492435242621,0.0030069716810956,run_87157
0.29010832,0.21405225,0.23633064,[50.71876812898384],0.9530767157339932,0.12153271,2.274039189648179,0.7128726350487165,0.7985247954109981,0.0005542400250825,0.0031553538416329,run_44820
0.28794327,0.21374775,0.23548114,[41.61534402252485],0.94475240171852,0.09792162,2.370050359538,0.7161203226679296,0.7827041486842333,0.0006799875239372,0.0040006800344407,run_92207
0.27812335,0.21453051,0.23315819,[56.322564315659655],0.9277059629187216,0.108986504,2.4076206754334177,0.7061868470569147,0.7981506242780962,0.0006489316697089,0.0029241370473385,run_25918
0.29105926,0.21439861,0.23685409,[47.164343031352175],0.933075996164144,0.12785828,2.452143398483536,0.6923545896743946,0.7459380897582747,0.003968166264517,0.0075489152933251,run_74228
0.27818552,0.21365133,0.23255472,[39.00680936770671],0.7890273776596378,0.107616074,2.375964200365998,0.52018526365593,0.6176896214323657,0.0919339178161243,0.1229659322728616,run_96632
0.28201205,0.21616048,0.23544978,[49.450167932652946],0.8850471605893989,0.107683174,2.386287263566212,0.7858268810226248,0.7791271377186803,0.0024987793625249,0.0050609265709869,run_75161
0.28584325,0.21373604,0.23485771,[50.521331055316665],0.9304847110675794,0.10926074,2.2821772885441947,0.7012592174392128,0.7861903608264326,0.0004258965587213,0.0033742411317809,run_69721
0.29692763,0.21420193,0.23843399,[48.03608426829858],0.8245049325834894,0.08614473,2.4847173906843687,0.6582003316487572,0.7321630469523189,0.0091233250280255,0.0130726178040958,run_86803
0.28863847,0.2138919,0.2357867,[53.897676024851314],0.9578126588491304,0.12703209,2.1451795275112726,0.742425826234579,0.8249085782894667,0.0005342755219037,0.0029928159291538,run_6219
0.29287252,0.21350811,0.2367556,[48.70865600626982],0.8198145743107703,0.10291663,2.4416018244741107,0.5392019475260307,0.6335793114985016,0.0842956730756695,0.1310360365706742,run_68361
0.29799515,0.21412644,0.23869331,[50.35165313509368],0.8240119915976195,0.09717376,2.4765477977971297,0.5829889015015438,0.6676748799559462,0.0089354121677479,0.0138525395897737,run_33680
0.27254066,0.2137623,0.2309797,[55.765620916613855],0.9310813460765642,0.117843285,2.444608314639713,0.7562538487109124,0.7874978061384338,0.0022822623684042,0.0052972005998454,run_4564
0.2807477,0.21429437,0.23375994,[53.88010632606554],0.9085743554739784,0.120371476,2.4560837248664047,0.6533613575081183,0.7368501157491251,0.0002500739461968,0.0028686828028773,run_29762
0.29647025,0.21339585,0.23773004,[43.92184906599046],0.9089983114772476,0.10241128,2.3440910134533484,0.5145721842819488,0.6225583025986647,0.11543375642036,0.1532555679321388,run_5845
0.29482448,0.21409908,0.23774523,[49.16145748988287],0.9249029800026496,0.115691036,2.505102556726655,0.7036660183195026,0.7636064550625524,0.0036531544832054,0.0070600457973856,run_44845
0.28954965,0.21413451,0.23622519,[54.199649703150044],0.880758897208338,0.111115105,2.463982448579951,0.6271151268158176,0.7136639736585482,0.0043966351648889,0.0081354504311356,run_31630
0.29741806,0.21311732,0.23781075,[46.10256515911711],0.8378167592257308,0.120492555,2.4494037989407964,0.7162666467365612,0.777696641918888,-9.920058901015518e-05,0.0024285557575156,run_74226
0.28544068,0.21366051,0.23468639,[48.82482770845404],0.8534842151069895,0.10470024,2.430565531201199,0.5606617167294394,0.6520003507530596,0.0883892546483353,0.1390711277387123,run_55302
0.26877767,0.21309021,0.2294022,[56.45013674427101],0.8999332935935936,0.1033099,2.4840215956480973,0.5295175311992354,0.6543942422577717,0.0044225259560618,0.0073105914775344,run_7290
0.28038478,0.21364857,0.23319699,[53.21446363188124],0.9112823995650512,0.106279366,2.331728355992481,0.562436656507729,0.6428170224635597,0.1156466908715749,0.1560261628938747,run_5551
0.29423082,0.21655594,0.2393085,[39.936260935226684],0.7511899221992074,0.090179436,2.50025330895707,0.3901918233554575,0.4866778105316284,0.1391261578167061,0.1917698674297688,run_20817
0.2866851,0.21381201,0.23515806,[58.701473099601344],0.9067164051597522,0.110368595,2.377774966581177,0.739045440421068,0.8176332408360036,9.347040590800964e-05,0.0025376994880652,run_56772
0.26545638,0.21408167,0.22913039,[48.20205327985737],0.9296715490436644,0.11633691,2.341107123713896,0.6406501850332149,0.7322240680055109,0.0012976707724949,0.0041361975108219,run_1244
0.28677657,0.21537781,0.23629197,[45.501516785152056],0.9261672796421392,0.119177885,2.2591640728176325,0.596511645296419,0.6759792458203268,0.1104832903713083,0.1524899992104083,run_77792
0.3022444,0.21690826,0.24190496,[38.06987182398912],0.8901734615302204,0.10038792,2.391338307584219,0.412350763525,0.5469388936138616,0.1691966872962361,0.2081334281672919,run_77279
0.29307035,0.2149872,0.23785937,[55.42901325840178],0.8527200667035693,0.1271994,2.357896791828487,0.6377308660032377,0.7380889413700698,0.0152599987443983,0.0212132333142254,run_72755
0.28126734,0.21402702,0.2337231,[52.75246551720692],0.9131863091199932,0.107783444,2.49653149224375,0.6498979103891833,0.7321375542611162,0.0020025733933589,0.0045773362749082,run_27220
0.28994384,0.21344315,0.23585176,[43.11769934486052],0.8037653091182974,0.09480446,2.413929791158651,0.6777498046710919,0.6999181832242887,0.0823849743389011,0.130984755941209,run_92585
0.2829897,0.21370725,0.2340015,[53.205812734444244],0.888709150822796,0.106406175,2.4304007877057887,0.5433603799124508,0.6457980973470241,0.1050158164456387,0.1465797081216471,run_7143
0.28305778,0.21370937,0.23402295,[44.448610173534256],0.9376053547835448,0.11664688,2.410057732260476,0.6915092025668594,0.7656223940432353,0.0009160303516395,0.0036978742426285,run_46625
0.2872024,0.21434511,0.23568651,[50.27610125130906],0.9399447018895194,0.105155535,2.330166383935216,0.702103104986663,0.7823606143702604,0.0007806704843008,0.0031535833887401,run_12047
0.2774315,0.21388121,0.23249638,[50.01249646672648],0.7953410174390879,0.08710135,2.4584920501319463,0.7544338425634332,0.7834344247826235,0.0005555929485264,0.0030647431607126,run_34195
